Date,Open,High,Low,Close,Adj Close,Volume,Nombre
2021-11-01,1485.5799560546875,1500.0,1471.739990234375,1489.6600341796875,1489.6600341796875,411500,MELI
2021-11-02,1498.25,1509.4200439453125,1479.8199462890625,1508.7099609375,1508.7099609375,312700,MELI
2021-11-03,1522.43994140625,1546.699951171875,1508.550048828125,1531.9300537109375,1531.9300537109375,475600,MELI
2021-11-04,1524.43994140625,1568.719970703125,1524.43994140625,1556.489990234375,1556.489990234375,525200,MELI
2021-11-01,169.2100067138672,171.25,169.08999633789062,170.19000244140625,170.19000244140625,8182900,DIS
2021-11-02,170.02999877929688,170.85000610351562,168.97999572753906,169.8300018310547,169.8300018310547,6777200,DIS
2021-11-03,169.6999969482422,170.19000244140625,168.3699951171875,170.0800018310547,170.0800018310547,6829300,DIS
2021-11-04,170.02999877929688,170.4199981689453,168.6699981689453,170.27999877929688,170.27999877929688,7505500,DIS
2021-11-01,1145.0,1209.75,1118.6600341796875,1208.5899658203125,1208.5899658203125,56048700,TSLA
2021-11-02,1159.3599853515625,1208.5899658203125,1146.0,1172.0,1172.0,42737800,TSLA
2021-11-03,1177.3299560546875,1215.3900146484375,1152.6199951171875,1213.8599853515625,1213.8599853515625,34628500,TSLA
2021-11-04,1234.4100341796875,1243.489990234375,1217.0,1229.9100341796875,1229.9100341796875,25397400,TSLA
2021-11-01,689.0599975585938,689.969970703125,676.5399780273438,681.1699829101562,681.1699829101562,3110900,NFLX
2021-11-02,683.1099853515625,687.6799926757812,673.8200073242188,677.719970703125,677.719970703125,3888600,NFLX
2021-11-03,677.27001953125,689.3900146484375,677.27001953125,688.2899780273438,688.2899780273438,2334900,NFLX
2021-11-04,685.8900146484375,685.9400024414062,665.5,668.4000244140625,668.4000244140625,4865000,NFLX
